,Review Id,Content,ID
179,15,very nice phone. timely received thanx draz,13
180,1,very fast delivery and origional sealed pack mobile I am satisfied,14
181,2,سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ,14
182,3,"not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful",14
183,4,Allhamdullilah 🥰 Very Good mobile recieved on time good features but only concern is warranty because seller is not properly guiding about that,14
184,5,سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ,14
185,6,Very nice mobile with fast delivery by daraz,14
186,7,Buhat acha experience hy,14
187,8,"amazing choice of phonenin this price range currently. bcz i used note 20 ultra before this and now using this A14. not big differencebof performance in this price. phone was well packed and new untouched. so don't hesitate to buy samsung A14, 6/128",14
188,9,Very satisfied with the delivery time and packaging. This was a gift to my mother and she is really happy,14
189,10,It is a good phone in the price range and delivery was very fast. Thank you.,14
190,11,"First Experience to purchase cellphone at this platform. I am satisfied with the seller and also delivery service as i just received within 2 days, willing to purchase more in future. ✌🏻",14
191,12,quality is good but the saller didn't send changing adopter only send cable which is out of mind that why he send mobile without charging adopter.The packing and only cable video attached,14
192,13,Delivery on time Full packed and safe 10/10,14
193,14,bhot achi thi ap logo ki sarvice or shukariya ap ka k ap ne time pr apna order humhy diya,14
194,15,Awesome set and outstanding delivery service,14
195,1,#11.11 its my Best Purchase of 11 11 sale on Daraz .. Got a huge Discount of 12k From Daraz and HBL .. Box Pack .. Official PTA Approved .. Genuine Samsung Device .. Honestly i am really Greatful to Daraz for their efforts .. Delivering such Quality Services and Affordable Prices .. Original Product .. I for Sure Recommend the Seller and the Product .. Thank You Daraz .. 👍,15
196,2,"This phone is awesome. Properly packed, genuine product. fast delivery",15
197,3,Best phone.. same as shown.. market competitive price and comes sealed packed. Delivered in just under 24 hours. Thank You seller.,15
198,4,"This phone is awesome. Properly packed, genuine product. fast delivery",15
199,5,GOOD Experience. First it was sent by draz through a bike rider but when he came to know price of the shipment he refused to deliver it and hence attempted delivery became unsuccessful on11-11-2023. Later it was delivered next day through delivery van. Thanks to ALMIGHTY ALLAH that I have received it in original condition without any damage. Valuable shipment should be handled and delivered with great care in future.,15
200,6,"very nice and looked authentic 👍 but the delivery time was too late, I have got this after 8 days.",15
201,7,it is a fantastic item it is awesome item,15
202,8,Original Product. Fone is Good. Will update my review after using the fone for 7 days,15
203,9,Good Quality samsung A34 and Best Daraz store,15
204,10,#RWC2 Good phone. Original Samsung. Nice packaging. Fast delivery. Overall a wonderful experience shopping from Daraz Mall #RWC2,15
205,11,#11.11 Daraz #11.11 always fulfils the Desire. The product is superb 👌 and according to the prescribed. Fast Shipping. Delivery on time. Seller Service is Excellent. Recommended Seller,15
206,12,Very nice phone. Bought at a very reasonable price from market. 100% original. PTA approved.,15
207,13,Superb. I am so happy to find Sasta and behtreen mobile than market by using HBL Voucher. Thank you Daraz Thank you Samsung,15
208,14,💯 Original product,15
209,15,Original mobile,15
210,1,Perfect mobile for adult people.. i bought it for my relative and she is so happy now.. whatever it's SAMSUNG brand beeru 😇,16
211,2,Phone is 100% Genuine / Brand New / Sealed Pack with company Seal. Men ne is store se pehlay bhi kafi samsung fones purchase kiye hain or kabhi bhi mayusi nahi hui or is dafa bhi umeed se barh kr cheez mili hai. Agar kisi ko samsung phone lena hai to market janay ki koi zarurat nahi hai ye store kafi hai. Thank you Seller and Thank you Daraz.,16
212,3,Received as Order. Thanks,16
213,4,I liked this product,16
214,5,Good phone.! nice job daraz. delivery was late pk-dex service is slower than others.,16
215,6,The smart phone is original working beatiful. I'm giving this review after one day use. the seller was good as well as the service of daraz. thanks daraz I'm satisfied.,16
216,7,excellent product good product timely delivered,16
217,8,Best experience Allhumdullillha🙏🏻❤️,16
218,9,100% genuine product. Amazing hassle free service and same day delivery. Extremely satisfied and highly recommended to buy from this flagship store,16
219,10,Very well packed. Brand new product. This is my second purchase from samsung official store. Loved it! But Warranty card is missing in the box. Where i could get the warranty card from?,16
220,11,#11.11,16
221,12,outstanding mobile.same as shown. Real value for money . #RWC2#ReviewWorldCup2,16
222,13,received on time same as order,16
223,14,Good product 👍 but delivery too much late.,16
224,15,same as shown. best in this price... recommended,16
225,1,Nice Cell phone delivered safely but 1 thing is shameful that no adopter with mobile at this heavy price.. only data cable found in the box .. Great services by daraz,17
226,2,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na,17
227,3,"Thanks a lot Daraz for their phenomenal service and a great discount of 5000 the device is very reasonablekeeping the current situation of the inflation I would highly recommend this over all other Chinese brands the look and feel of the device is awesome same like the flagship series of samsung and performance is also acceptable overall the only drawback being the charger not included with the device, which adds another couple of thousand to the already inflated price But still I like the phone thanks again daraz for providing the great experience and service Thanks a lot Daraz 😊❣️💥",17
228,4,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na,17
229,5,"The Samsung A14 is a solid choice for those seeking a budget-friendly smartphone. With 4GB of RAM and 128GB of storage, it handles daily tasks with ease and provides ample space for apps and media. The device's performance is snappy, and it runs apps smoothly. The camera quality is good for the price range, and the battery life is impressive. If you're looking for a reliable smartphone with a balance of performance and storage, the Samsung A14 won't disappoint.",17
230,6,AoA Main daraz sy phly bhi orders krta hun but is order py mujy bohat kushi hui ha kun k ya order mujy diy gy time sy phly hi mill gya. Main is sy kush hua aor time py mari zarort puri ho gai aor mujy zada wait ni krna para. Product bhi theak ha.same as company paking. Thanks Allah Hafiz,17
231,7,Original product Box packed - Thanks Daraz ❤️🥀,17
232,8,V Goood,17
233,9,same as described original phone hai. aur colour b same bejhi hai thanks seler and daraz.,17
234,10,Very fast service selar and orignal products and same color thanks daraz,17
235,11,Time pr deliver hua ek dum fit and non active phone ha. And markt SE discount pr mila,17
236,12,"The packing of the mobile was very good. The mobile was sent with great careI took the mobile on but my full amount has been charged,I request you to solve this problem",17
237,13,its original Samsung phone but no charging adopter available in box,17
238,14,#1111 #11.11 Amazing product and packaging. Though as mentioned by company there is no charger with this product.,17
239,15,"Before I purchased, I had asked questions but you didn't reply me. There's is no adaptor(charger) in phone box C-CHARGER, amounting value Rs=2000 /- approximately. I think fake Eid deals. Daraz may please take an action on this genuine cimplaint/issue. I have been purchased charger separately from market. 😢😠😠😠 Daraz may please allowed those seller/dealers who upload complete information /photos of there products each and every thing related with all kind of electronic items. Second time bad experience on Daraz's, Pakistan.",17
